participant_id	session	task	bids_meta.modality	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	provenance.md5sum	provenance.settings.testing	provenance.software	provenance.version	provenance.warnings.large_rot_frame	provenance.warnings.small_air_mask	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-5001	pre	anat-wholebrain	T1w	1.1516	1.1983	0.5525	33011.4141	4.1420	4.1698	4.0776	4.1784	0.1809	0.4415	0.3777	1.0944	0.3780	3c1dd772eecfd9af1b78090fbec897ae	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0096	0.0423	27.4418	12.4169	16.7970	176	224	256	3.4306	9.3605	11.4344	21.5120	47.8883	87.0982	78.1827	99.5614	1	1	1	14.1634	6.5804	3.2995	4.4384	2590313	0	9.1023	4.2066	-0.5148	155.2297	511.2463	481.0050	24140	326.2727	750.5858	140.2053	-0.5471	101.4418	878.8035	874.8411	29533	734.5524	1041.0886	93.4591	0.8123	42.7168	1007.3412	1000.0251	201029	943.6590	1093.6676	46.4868	0.2159	0.5203	0.5530	0.6445
sub-5001	post	anat-wholebrain	T1w	0.7911	1.7053	0.5700	29569.6777	3.9463	3.9642	3.9021	3.9728	0.1882	0.4389	0.3729	0.8791	0.2532	62763a0b8525290127bb6ad1784d39f4	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0170	0.0374	26.3264	12.4895	17.2431	176	224	256	2.4082	11.9589	13.1082	24.9575	47.7687	84.4695	76.8401	98.2820	1	1	1	7.7489	6.6661	4.3454	4.5313	2049291	0	13.5012	4.6693	22.1139	157.0301	525.8660	486.0518	24804	326.7827	749.3161	201.8301	-0.2390	73.7163	860.1589	859.4871	24867	746.1330	986.1160	71.8687	0.8220	37.4724	1004.3242	1000.0309	194767	946.4969	1075.9534	40.0693	0.2185	0.5252	0.5617	0.5985
sub-5002	pre	anat-wholebrain	T1w	0.8502	1.6161	0.6365	37229.5820	4.1166	4.0887	4.0726	4.1886	0.1887	0.4461	0.3653	0.9495	0.3189	72a81cbf0a7dbb43578c824cf092289c	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0159	0.0029	23.8544	11.0782	15.5989	176	224	256	3.6061	11.6165	12.2992	21.6750	45.9109	92.0173	81.6891	107.1391	1	1	1	17.0568	6.1150	4.8166	4.1772	1839649	0	12.6101	5.7061	2.3362	105.4879	458.3914	428.5314	22550	314.8343	692.8645	118.8334	-0.1286	74.5327	860.3491	858.8882	30631	744.2274	989.9979	73.9357	0.2841	45.4740	1004.2729	1000.0354	208262	935.8638	1085.6000	46.1376	0.2067	0.5039	0.5212	0.4691
sub-5002	post	anat-wholebrain	T1w	0.8423	1.6369	0.6233	7475.1479	4.5806	4.4310	4.6710	4.6399	0.1960	0.4382	0.3657	1.5305	0.6241	41508c39d3b46b5f598c21492723fbd4	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0000	0.0022	23.2107	11.0459	15.0431	176	224	256	4.1976	11.1319	10.4260	15.9485	47.3360	81.7567	75.5654	97.6035	1	1	1	20.5288	6.7124	10.3517	4.5274	2722516	0	37.3059	15.6270	0.6948	115.4934	488.3735	484.9963	33435	304.1642	682.8361	115.5387	-0.1753	77.7750	840.2925	837.6643	34193	723.1782	969.3932	75.2481	0.8465	58.9805	1006.8040	1000.0280	214266	917.1566	1120.2416	62.7035	0.2015	0.4970	0.5170	0.6113
sub-5003	pre	anat-wholebrain	T1w	0.9323	1.4681	0.6131	40413.6211	4.2657	4.1458	4.3596	4.2918	0.1920	0.4251	0.3829	0.9776	0.3316	d0dca2a724dbca354cd794980dd5e649	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0529	0.0374	21.1768	10.1809	13.2803	176	224	256	3.4042	10.2943	11.5851	21.0569	49.1753	94.3616	84.4732	109.8826	1	1	1	86.6232	5.9625	4.0451	4.0216	2350594	0	12.1018	6.5100	3.0630	125.7980	478.5411	447.5482	35212	313.4443	723.9909	131.4686	-0.2516	86.5982	865.3031	858.7932	33634	739.9843	1012.8968	83.4226	0.6350	45.1025	1006.8051	1000.0506	251365	941.1224	1094.0834	47.4926	0.2198	0.5045	0.5439	0.5829
sub-5003	post	anat-wholebrain	T1w	0.7159	1.8990	0.6271	39816.3164	4.3054	4.1720	4.3718	4.3724	0.2005	0.4224	0.3771	1.0429	0.3364	2ede3fe9272b08f5c34dea7a513e8645	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0232	0.0396	20.3568	10.1773	13.4879	176	224	256	3.6161	12.3126	13.3959	24.2589	48.2901	95.0244	85.1507	112.1377	1	1	1	17.1525	5.8424	3.9054	3.9744	2079577	0	11.9131	4.7109	4.1681	109.1941	458.4356	430.6461	36952	309.9364	683.1945	119.0897	-0.1782	71.0461	849.2202	847.4180	31780	740.7277	965.5141	68.8244	1.0274	38.2085	1003.5853	1000.0328	248713	942.9944	1076.4689	41.2232	0.2194	0.5021	0.5432	0.5959
sub-5004	pre	anat-wholebrain	T1w	0.9992	1.3692	0.6260	39477.0625	4.2964	4.2986	4.3185	4.2722	0.1993	0.4371	0.3636	1.4053	0.4926	ead1d857a2def97bfcc5c6994cf9c96d	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0567	0.0058	22.1449	10.8106	14.9301	176	224	256	3.6173	9.5059	11.2419	20.6024	46.3535	95.7828	84.5360	111.4718	1	1	1	22.0833	5.8774	4.7910	4.0064	2312050	0	15.9032	6.2845	0.3145	109.4010	442.7885	415.8513	40613	303.2994	664.3813	114.9610	-0.4226	95.5709	863.6282	859.2966	40550	724.5601	1022.5183	90.3953	1.5325	45.0646	1005.4754	1000.0471	223302	936.2676	1090.9705	48.5401	0.2292	0.5102	0.5386	0.5458
sub-5004	post	anat-wholebrain	T1w	1.0036	1.4027	0.6216	36092.8320	4.3461	4.2860	4.5236	4.2287	0.2096	0.4258	0.3645	1.3692	0.4125	d258a37a75e71ba371acb35bfc5998c8	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0303	0.0184	21.0470	10.8604	14.8672	176	224	256	3.6148	10.5465	12.1971	22.4301	46.3573	92.9642	82.1248	107.0529	1	1	1	19.3863	6.1200	4.8360	4.1279	2317625	0	16.3867	5.9370	34.8033	110.4496	453.7144	433.0498	45315	307.8567	657.5917	119.7974	-0.5466	89.7982	869.0549	868.4302	39300	738.6874	1007.3236	82.3421	0.6084	42.2889	1004.4935	1000.0410	217916	939.3517	1083.7074	44.5846	0.2257	0.5053	0.5384	0.5322
sub-5005	pre	anat-wholebrain	T1w	0.7818	1.7655	0.6110	41280.0508	4.0444	4.0923	4.0137	4.0271	0.1874	0.4490	0.3637	1.4336	0.4125	1ad91dd295615b6fb115df647e7b4763	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0499	0.0157	25.7083	11.7906	16.6188	176	224	256	2.9324	11.7605	11.9943	21.2900	47.4508	97.6744	86.7757	115.2019	1	1	1	21.4510	5.6870	3.7314	3.8358	2018667	0	11.7183	4.7902	50.4519	91.5686	443.4600	411.9038	23766	310.0518	655.4825	140.4622	-0.2312	74.9440	850.5118	847.8785	33509	738.4683	974.3720	72.0944	0.7609	44.0136	1002.7000	1000.0281	192226	930.0658	1084.0702	46.9717	0.2188	0.5270	0.5521	0.5649
sub-5005	post	anat-wholebrain	T1w	0.8057	1.6470	0.6257	10804.7051	4.0916	4.1495	3.9717	4.1536	0.1881	0.4467	0.3652	0.9405	0.3099	8e622a564d574f238f94eee1ea95df1a	FALSE	mriqc	0.15.1	TRUE	FALSE	0.0000	0.0191	25.8637	11.8476	16.5055	176	224	256	3.8050	10.2572	11.6915	21.0123	47.8268	96.2683	86.0977	114.1981	1	1	1	14.9277	5.7370	7.0213	3.8695	2181382	0	23.0422	8.2921	1.2682	96.5936	443.1070	418.8157	22482	304.4335	660.3271	110.0683	-0.1041	83.7794	851.9601	843.0151	30859	733.9843	1001.9725	82.1866	1.1893	42.7190	1005.5137	1000.0255	194801	937.2789	1091.3586	47.5922	0.2164	0.5211	0.5481	0.5494
