onset	duration	offer	proposer	face_onset	offer_onset	decision_onset	response_time	feedback_onset	response
3.061344232	14.13099994	2	computer	3.061344232	5.163502601	10.19092829	4.063377338	14.25430563	-1
18.3913835	14.03179918	1	PRP1	18.3913835	20.40545567	25.42288245	2.037725894	27.46060835	-1
33.56011164	14.02987217	11	PRP2	33.56011164	35.57166955	40.58968239	0.884836315	41.4745187	1
50.71118594	14.02859105	2	PRP3	50.71118594	52.71969303	57.73948189	1.346363319	59.08584521	-1
66.86139572	14.02240698	2	computer	66.86139572	68.87193256	73.88344511	1.806748068	75.69019318	1
82.00816232	14.013326	3	computer	82.00816232	84.01443592	89.02118902	1.417740196	90.43892921	1
97.14564261	14.01607905	10	computer	97.14564261	99.15433305	104.1614234	1.266856254	105.4282797	1
114.2732915	14.03183846	9	PRP2	114.2732915	116.2881475	121.3045845	1.136257947	122.4408425	1
130.4253756	14.02970395	2	computer	130.4253756	132.4372817	137.4548502	1.209525584	138.6643758	1
146.5730814	14.0298855	1	computer	146.5730814	148.5861278	153.6026886	0.791749573	154.3944382	1
163.723321	14.02583066	4	PRP4	163.723321	165.7330884	170.7488728	0.848136847	171.5970097	1
179.8731482	14.01453429	8	computer	179.8731482	181.8794837	186.8873887	0.99449301	187.8818817	1
195.0075582	14.01893936	9	computer	195.0075582	197.0196473	202.0262257	0.854460063	202.8806857	1
210.1579816	14.02898366	1	computer	210.1579816	212.170053	217.1866778	0.692964449	217.8796422	1
225.3062772	14.03036903	3	PRP2	225.3062772	227.3200567	232.3363611	0.683141178	233.0195022	1
242.477976	14.02408651	10	PRP4	242.477976	244.4844967	249.5018238	1.006403173	250.508227	1
257.607618	14.02533949	3	computer	257.607618	259.6162475	264.6327411	0.564697221	265.1974383	1
274.759446	14.02012664	4	computer	274.759446	276.7681956	281.7794204	0.561952307	282.3413727	1
289.8914142	14.01889561	2	PRP5	289.8914142	291.9015318	296.9099811	0.773890853	297.683872	1
308.0223459	14.02991671	1	computer	308.0223459	310.0354202	315.0519558	1.212353903	316.2643097	-1
324.1534059	14.03153142	11	computer	324.1534059	326.1683271	331.1846836	0.651306666	331.8359902	1
342.288297	14.02950942	2	PRP4	342.288297	344.3000719	349.3175132	0.676764071	349.9942772	1
359.4402919	14.02344371	9	PRP6	359.4402919	361.4470393	366.4634583	0.788380366	367.2518387	1
374.5722489	14.01278179	8	PRP1	374.5722489	376.5777399	381.584658	0.720645469	382.3053035	1
389.7089055	14.01674419	3	PRP3	389.7089055	391.7168253	396.725338	0.657500816	397.3828388	1
404.8377204	14.02990562	9	computer	404.8377204	406.8508648	411.867347	0.573948668	412.4412957	1
419.9874842	14.03016037	9	computer	419.9874842	422.0006039	427.0174008	0.787852204	427.805253	1
436.1396941	14.02778025	1	PRP6	436.1396941	438.1496884	443.1669687	0.954128364	444.121097	-1
451.2909842	14.02269159	1	PRP6	451.2909842	453.2964007	458.313423	0.878625899	459.1920489	-1
469.437763	14.02336988	8	PRP3	469.437763	471.4443232	476.4609084	0.991597001	477.4525054	1
485.5683223	14.01522915	10	computer	485.5683223	487.5743133	492.5833186	0.673487523	493.2568062	1
502.702054	14.03116522	8	PRP5	502.702054	504.7157004	509.7329935	0.690180157	510.4231737	1
518.852849	14.0296041	8	computer	518.852849	520.8657933	525.8822431	0.812888583	526.6951317	1
534.9855864	14.03010525	8	computer	534.9855864	536.9986855	542.0154712	1.296129078	543.3116003	1
550.1373011	14.02555076	10	PRP5	550.1373011	552.1463819	557.1626176	0.972687451	558.1353051	1
567.2872976	14.01112649	9	PRP1	567.2872976	569.292462	574.2982164	0.718286128	575.0165025	1
